"STUDENT_ID","STUDENT_NAME","COURSE_NAME","SESSION_ID"
720,"JACK","PRINCIPLES OF ACCOUNTING",100
760,"JEANNE","PRINCIPLES OF ACCOUNTING",100
720,"JACK","INTRODUCTION TO BUSINESS LAW",100
750,"ROBERT","COST ACCOUNTING",100
760,"JEANNE","COST ACCOUNTING",100
780,"NATHAN","COST ACCOUNTING",100
720,"JACK","STRATEGIC TAX PLANNING FOR BUSINESS",100
780,"NATHAN","STRATEGIC TAX PLANNING FOR BUSINESS",100
780,"NATHAN","GENERAL BIOLOGY",200
740,"RHONDA","CELL BIOLOGY",200
740,"RHONDA","MARINE BIOLOGY",200
730,"NOAH","SIMULATION AND MODELING",300
730,"NOAH","WEB PROGRAMMING",300
740,"RHONDA","WEB PROGRAMMING",300
760,"JEANNE","DATA STRUCTURES",300
770,"MILLS","DATA STRUCTURES",300
760,"JEANNE","OOAD",300
770,"MILLS","OOAD",300
750,"ROBERT","COLLEGE READING",100
710,"NINA","BUSINESS WRITING",200
750,"ROBERT","BUSINESS WRITING",200
710,"NINA","AMERICAN LITERATURE",300
750,"ROBERT","AMERICAN LITERATURE",300
