"STUDENT_NAME","CALIFICACION","TIPO_EXAMEN","NOMBRE_DEL_EXAMEN"
"JACK",91,"Multiple Choice Exams","FALL SESSION EXAM"
"JACK",97,"LAB Exams","FALL SESSION EXAM"
"JACK",89,"ESSAY Exams","SPRING SESSION EXAM"
"RHONDA",69,"FILL IN THE BLANKS Exams","SUMMER SESSION EXAM"
"RHONDA",70,"SHORT ANSWER Exams","SUMMER SESSION EXAM"
"RHONDA",76,"SHORT ANSWER Exams","SUMMER SESSION EXAM"
"ROBERT",60,"Multiple Choice Exams","FALL SESSION EXAM"
"ROBERT",97,"SHORT ANSWER Exams","FALL SESSION EXAM"
"ROBERT",78,"LAB Exams","FALL SESSION EXAM"
"ROBERT",85,"LAB Exams","FALL SESSION EXAM"
"JEANNE",65,"OPEN BOOK Exams","SPRING SESSION EXAM"
"JEANNE",60,"ESSAY Exams","SPRING SESSION EXAM"
"JEANNE",79,"OPEN BOOK Exams","SPRING SESSION EXAM"
"JEANNE",70,"SHORT ANSWER Exams","FALL SESSION EXAM"
"MILLS",91,"FILL IN THE BLANKS Exams","SUMMER SESSION EXAM"
"MILLS",99,"TRUE AND FALSE Exams","SPRING SESSION EXAM"
"NINA",91,"Multiple Choice Exams","FALL SESSION EXAM"
"NINA",77,"SHORT ANSWER Exams","FALL SESSION EXAM"
"NATHAN",56,"LAB Exams","FALL SESSION EXAM"
"NATHAN",61,"ESSAY Exams","SPRING SESSION EXAM"
"NATHAN",65,"ESSAY Exams","SPRING SESSION EXAM"
"NOAH",87,"OPEN BOOK Exams","SPRING SESSION EXAM"
"NOAH",85,"ESSAY Exams","SPRING SESSION EXAM"
