"ACADEMIC_SESSION","DEPARTMENT_NAME","HEAD_OF_DEPARTMENT","COURSE_NAME","FACULTY_NAME","FACULTY_EMAIL"
100,"ACCOUNTING","MARK SMITH","COST ACCOUNTING","Steven King","SKING"
100,"ACCOUNTING","MARK SMITH","STRATEGIC TAX PLANNING FOR BUSINESS","Steven King","SKING"
200,"LITERATURE","ANITA TAYLOR","BUSINESS WRITING","Neena Kochhar","NKOCHHAR"
100,"LITERATURE","ANITA TAYLOR","COLLEGE READING","Neena Kochhar","NKOCHHAR"
200,"BIOLOGY","DAVE GOLD","INTRODUCTION TO PLANT PHYSIOLOGY","Lex De Haan","LDEHAAN"
200,"BIOLOGY","DAVE GOLD","GENERAL BIOLOGY","Alexander Hunold","AHUNOLD"
100,"ACCOUNTING","MARK SMITH","PRINCIPLES OF ACCOUNTING","Bruce Ernst","BERNST"
200,"BIOLOGY","DAVE GOLD","CELL BIOLOGY","Bruce Ernst","BERNST"
100,"ACCOUNTING","MARK SMITH","INTRODUCTION TO BUSINESS LAW","David Austin","DAUSTIN"
300,"COMPUTER SCIENCE","LINDA BROWN","SIMULATION AND MODELING","Valli Pataballa","VPATABAL"
300,"COMPUTER SCIENCE","LINDA BROWN","WEB PROGRAMMING","Valli Pataballa","VPATABAL"
300,"COMPUTER SCIENCE","LINDA BROWN","DATA STRUCTURES","Diana Lorentz","DLORENTZ"
300,"LITERATURE","ANITA TAYLOR","AMERICAN LITERATURE","Diana Lorentz","DLORENTZ"
300,"COMPUTER SCIENCE","LINDA BROWN","OOAD","Nancy Greenberg","NGREENBE"
200,"BIOLOGY","DAVE GOLD","MARINE BIOLOGY","Daniel Faviet","DFAVIET"
